001	MISSING	9061bd1f-52ee-4aee-bbff-93c186cca302	datasets\xlebench_partial\Ego4D\v2\full_scale\9061bd1f-52ee-4aee-bbff-93c186cca302.mp4
002	MISSING	7bbebd35-f550-436f-92ac-02307a9fe138	datasets\xlebench_partial\Ego4D\v2\full_scale\7bbebd35-f550-436f-92ac-02307a9fe138.mp4
003	MISSING	c6534c1f-765e-42e7-86f4-da210d5211c3	datasets\xlebench_partial\Ego4D\v2\full_scale\c6534c1f-765e-42e7-86f4-da210d5211c3.mp4
004	MISSING	670af94f-647f-448e-b219-1e424cc0d0f1	datasets\xlebench_partial\Ego4D\v2\full_scale\670af94f-647f-448e-b219-1e424cc0d0f1.mp4
005	MISSING	9a732221-3adb-4903-b61d-9b8097965fbf	datasets\xlebench_partial\Ego4D\v2\full_scale\9a732221-3adb-4903-b61d-9b8097965fbf.mp4
006	MISSING	046855d7-41d7-4f41-a6a7-fce921ea8133	datasets\xlebench_partial\Ego4D\v2\full_scale\046855d7-41d7-4f41-a6a7-fce921ea8133.mp4
007	MISSING	d37e336e-31b7-464f-bc74-f836279dcee3	datasets\xlebench_partial\Ego4D\v2\full_scale\d37e336e-31b7-464f-bc74-f836279dcee3.mp4
008	MISSING	6e68d2f9-6d37-4317-a3eb-9541321d558e	datasets\xlebench_partial\Ego4D\v2\full_scale\6e68d2f9-6d37-4317-a3eb-9541321d558e.mp4
009	MISSING	23eeced2-6067-4379-9ebd-9e263d8171ef	datasets\xlebench_partial\Ego4D\v2\full_scale\23eeced2-6067-4379-9ebd-9e263d8171ef.mp4
010	MISSING	cbb644c5-aa49-479d-97ce-cfe515bf01ea	datasets\xlebench_partial\Ego4D\v2\full_scale\cbb644c5-aa49-479d-97ce-cfe515bf01ea.mp4
011	MISSING	c6e14005-854e-462f-a5a0-2474b759b1cc	datasets\xlebench_partial\Ego4D\v2\full_scale\c6e14005-854e-462f-a5a0-2474b759b1cc.mp4
012	MISSING	41309ada-0a81-47b2-bdd1-453a178db18a	datasets\xlebench_partial\Ego4D\v2\full_scale\41309ada-0a81-47b2-bdd1-453a178db18a.mp4
013	MISSING	bcac27c1-246b-4e30-9231-33281f02b2fa	datasets\xlebench_partial\Ego4D\v2\full_scale\bcac27c1-246b-4e30-9231-33281f02b2fa.mp4
014	MISSING	dd08bc58-b614-4ba7-b883-a213560621dd	datasets\xlebench_partial\Ego4D\v2\full_scale\dd08bc58-b614-4ba7-b883-a213560621dd.mp4
015	MISSING	2970b84a-d6cf-4593-a487-53f853f0418f	datasets\xlebench_partial\Ego4D\v2\full_scale\2970b84a-d6cf-4593-a487-53f853f0418f.mp4
